Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
AIRS,0.1718,1.4046,-0.2188,-0.2925,-0.0348,-0.1985,0.0321,0.0944,2.6,432570.0,1.68,4.16,0.0626,724610.0
AEVA,-0.0546,1.3887,3.1176,3.375,3.6398,2.3895,0.121,0.0858,1.4,1600000.0,2.19,16.1,0.1338,3504489.0
SEZL,0.1283,1.3730000000000002,1.1279000000000001,0.5259,7.2227,1.3844999999999998,0.023799999999999998,0.08410000000000001,1.0,1110000.0,0.8,101.66,0.025699999999999997,890363.0
TGEN,0.3248,1.3366999999999998,1.4347,4.1667000000000005,5.6906,2.1741,0.0429,0.0771,1.0,219270.0,1.8,4.65,0.0665,395058.0
OST,0.0872,1.3254,0.855,1.2070999999999998,0.0429,0.8134,0.025,0.0643,,2410000.0,0.75,4.86,0.0318,1803215.0
AREN,0.1624,1.3214,4.8209,3.4318,8.7781,4.8209,0.1465,0.1076,1.0,170520.0,1.86,7.8,-0.0441,316816.0
DAVE,0.0816,1.3146,0.9708,1.4956,3.2626,1.2877,0.039,0.0784,1.0,514169.99999999994,0.62,198.85,0.026600000000000002,317389.0
PTHL,0.1364,1.2353,1.0267,0.3103,,0.3787,0.1281,0.0902,,158650.0,1.18,6.08,0.1259,186806.0
FTK,-0.0143,1.2283,0.8406,0.8842,2.9816000000000003,0.5876,0.0148,0.085,1.0,311060.0,0.73,15.13,0.006,226086.0
GREE,0.7451000000000001,1.2278,0.6481,-0.3407,-0.3754,0.1484,0.09449999999999999,0.1308,1.0,334530.0,4.76,1.78,0.28059999999999996,1592921.0
TNMG,0.2079,1.2248,-0.657,-0.9319,-0.9272,-0.9014,0.25129999999999997,0.2361,1.0,4170000.0,0.32,0.78,-0.16190000000000002,1330728.0
OMEX,-0.0048,1.1954,0.9479000000000001,1.3086000000000002,-0.7651,0.2986,0.0608,0.1553,1.0,17250000.0,0.05,0.94,-0.0449,915887.0
CREX,0.4378,1.1567,0.1942,-0.1475,-0.1882,0.1796,0.1166,0.0823,1.0,56390.0,8.86,2.89,0.1893,499633.0
BW,-0.17670000000000002,1.1421999999999999,-0.4,-0.6349,-0.43439999999999995,-0.5793,0.059000000000000004,0.1197,2.33,1750000.0,0.5,0.69,-0.061900000000000004,865052.0
LIVE,0.0668,1.1149,1.382,1.1405,-0.0973,1.4662,0.0225,0.10099999999999999,1.0,15520.0,0.12,23.01,-0.009899999999999999,1867.0
SYRA,0.3699,1.1113,-0.7284,-0.6995,-0.9173,-0.7329000000000001,0.158,0.19949999999999998,,483120.0,0.05,0.11,0.0,25574.0
UP,0.0187,1.1038,0.1479,-0.22010000000000002,-0.462,-0.0121,0.0285,0.0783,1.67,845660.0,0.63,1.63,-0.024,530808.0
HOOK,0.11720000000000001,1.0769,-0.08990000000000001,-0.4214,-0.9811,-0.19399999999999998,0.11900000000000001,0.1058,3.0,86760.0,22.13,1.62,0.0658,1920199.0
MWYN,0.1588,1.0756999999999999,,,,1.1047,0.1408,0.1247,,949490.0,0.51,9.05,-0.11449999999999999,487845.0
EDBL,0.9747,1.0688,-0.2826,0.1211,-0.9588,-0.5135000000000001,0.3626,0.1671,1.0,3310000.0,0.76,3.91,-0.2164,2505893.0
FL,-0.0013,1.0525,0.3115,0.060899999999999996,0.051100000000000007,0.09699999999999999,0.0084,0.1439,2.82,6440000.0,0.76,23.87,-0.0029,4903666.0
RYET,0.7654000000000001,1.037,,,,2.0532,0.0895,0.2075,,1020000.0,0.44,13.77,0.0132,451346.0
ETU,0.07400000000000001,1.0351000000000001,-0.1993,-0.5519,,-0.5619,0.0655,0.0966,,57630.0,2.32,16.83,0.0978,133891.0
ETHU,0.079,1.0342,-0.20489999999999997,-0.5775,,-0.5770000000000001,0.0637,0.09609999999999999,,2310000.0,1.29,65.99,0.0969,2974567.0
DEVS,-0.44170000000000004,1.0334999999999999,-0.083,-0.45539999999999997,-0.9648,-0.4757,0.1463,0.4226,,14900000.0,0.13,0.39,-0.0915,1906778.0
HOOG,0.1678,1.0312000000000001,,,,0.8327,0.045700000000000005,0.0676,,71870.0,0.73,28.33,0.0404,52157.0
FAAS,1.6774,1.0307,-0.11349999999999999,-0.18059999999999998,-0.9462999999999999,-0.31170000000000003,0.2528,0.1778,,11570000.0,0.86,0.52,0.2621,9895635.0
ETHT,0.0767,1.0289,-0.20120000000000002,-0.5785,,-0.581,0.0641,0.0966,,3320000.0,1.06,9.13,0.0947,3505134.0
ROBN,0.13570000000000002,1.0175,0.1776,,,0.1014,0.0464,0.0655,,2260000.0,0.42,26.45,0.032400000000000005,951768.0
MRM,0.9620000000000001,1.0131000000000001,0.8471,-0.4291,-0.7298,0.5243,0.2995,0.1485,1.0,1890000.0,0.3,1.57,-0.11800000000000001,570363.0
HOOX,0.13470000000000001,1.0123,,,,0.9512,0.048,0.0633,,57100.0,1.23,44.23,0.030299999999999997,70130.0
HIMS,-0.0864,1.0037,0.086,1.5497999999999998,1.8774000000000002,1.2134,0.0264,0.08289999999999999,2.44,37170000.0,1.31,53.52,-0.07719999999999999,48700330.0
LFMD,0.1892,0.9759,1.1062,1.1863,0.4557,1.3232,0.0338,0.09140000000000001,1.22,1770000.0,1.13,11.5,0.0678,2008186.0
VFF,0.2981,0.9729000000000001,0.544,0.5650999999999999,-0.0547,0.5694,0.07490000000000001,0.0843,1.0,714360.0,2.91,1.21,0.14150000000000001,2077147.0
SERV,0.2386,0.9712000000000001,-0.0316,0.4483,2.6344,-0.13849999999999998,0.1164,0.0821,1.0,4930000.0,3.41,11.63,0.2115,16819626.0
AGAE,0.09820000000000001,0.9692000000000001,0.8737999999999999,0.7706000000000001,1.5065,1.4353,0.1,0.0863,1.0,133780.0,0.13,1.93,0.0052,16732.0
DDC,0.1485,0.9682,0.08929999999999999,-0.1208,-0.7913,-0.0097,0.0696,0.11019999999999999,1.0,73560.0,0.9,4.33,0.10460000000000001,65907.0
LASR,0.11349999999999999,0.9373,0.4177,0.36340000000000006,0.0748,0.3556,0.0538,0.07440000000000001,1.5,440530.0,1.63,14.22,0.0572,717857.0
