Name,Market Cap.,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date)
Large,35736780000000.0,-1.99,5.1,-0.04,0.9000000000000001,8.51,4.46
Mega,34579960000000.0,-2.34,6.860000000000001,-4.16,-1.73,10.47,-3.6000000000000005
Micro,186920000000.0,-2.42,2.75,-2.21,-1.12,11.0,-9.3
Mid,5233570000000.0,-2.83,4.57,-3.95,-7.200000000000001,-0.19,-4.34
Nano,16070000000.0,1.97,12.18,8.13,16.37,-3.39,-0.01
Small,1237990000000.0,-2.08,5.42,-6.34,-9.49,-4.24,-8.06
