Name,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Recom,Avg Volume,Rel Volume,Change,Volume,Stocks,Market Cap.,Dividend,P/E,Fwd P/E,PEG,Float Short
Large,-1.99%,0.051,-0.0004,0.009000000000000001,0.0851,0.0446,2.0,4160000000.0,0.77,-0.0013,3200000000.0,793,35736780000000.0,0.021,23.08,16.62,1.73,0.018500000000000003
Mega,-2.34%,0.06860000000000001,-0.0416,-0.0173,0.1047,-0.036000000000000004,1.65,1070000000.0000001,0.72,-0.0104,770500000.0,48,34579960000000.0,0.0083,30.76,24.07,2.16,0.0104
Micro,-2.42%,0.0275,-0.022099999999999998,-0.011200000000000002,0.11,-0.09300000000000001,1.57,472220000.0,1.26,-0.0034999999999999996,596880000.0,1290,186920000000.0,0.011699999999999999,15.12,18.02,0.62,0.0484
Mid,-2.83%,0.045700000000000005,-0.0395,-0.07200000000000001,-0.0019,-0.0434,1.97,2930000000.0,1.0,-0.0013,2920000000.0,1114,5233570000000.0,0.0166,23.15,15.42,1.4,0.0654
Nano,1.97%,0.12179999999999999,0.08130000000000001,0.1637,-0.0339,-0.0001,1.3,197470000.0,2.79,-0.002,551680000.0,688,16070000000.0,0.0051,28.0,34.1,0.85,0.027999999999999997
Small,-2.08%,0.0542,-0.0634,-0.0949,-0.0424,-0.0806,1.86,1740000000.0,1.07,-0.0016,1860000000.0,1530,1237990000000.0,0.0176,26.58,15.4,1.19,0.0717
